IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,,flag
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087,Cedar Rapids-IA,1
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239,Sault Ste. Marie-MI,1
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873,San Diego-CA,2
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,Cleveland-OH,1
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382,College Station-TX,1
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,Charlotte-NC,1
CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188,Columbus-OH,1
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806,Champaign/Urbana-IL,1
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906,Hancock-MI,1
CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75484,Moab-UT,1
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.0238,Cody-WY,1
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025,Colorado Springs-CO,1
COU,Columbia Regional Airport,Columbia,MO,USA,38.81809,-92.21963,Columbia-MO,1
CPR,Natrona County International Airport,Casper,WY,USA,42.90836,-106.46447,Casper-WY,1
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77036,-97.50122,Corpus Christi-TX,1
CRW,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319,Charleston-WV,1
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.51633,-84.93886,Columbus-GA,1
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217,Covington-KY,1
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.77762,-89.66678,Mosinee-WI,1
